日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2016-01-08,'000001,平安银行,11.12,11.29,10.9,11.21,10.94,0.18,1.6453,0.6333,74752758,831334546.23,1.59112478666e+11,1.31261249904e+11,29002
2016-01-07,'000001,平安银行,10.94,11.41,10.91,11.41,11.53,-0.59,-5.1171,0.1481,17476110,194869493.47,1.56536916961e+11,1.29136517442e+11,6596
2016-01-06,'000001,平安银行,11.53,11.56,11.39,11.42,11.4,0.13,1.1404,0.4369,51570644,591698520.36,1.64979035883e+11,1.36100918291e+11,20359
2016-01-05,'000001,平安银行,11.4,11.57,11.15,11.27,11.33,0.07,0.6178,0.5619,66326995,755531353.72,1.63118907985e+11,1.3456638929e+11,29217
2016-01-04,'000001,平安银行,11.33,12.03,11.23,12.0,11.99,-0.66,-5.5046,0.4774,56349787,660376153.12,1.62117300655e+11,1.33740104444e+11,24835
2015-12-31,'000001,平安银行,11.99,12.13,11.98,12.1,12.1,-0.11,-0.9091,0.4162,49125892,591643590.68,1.71561026907e+11,1.4153079014e+11,14765
2015-12-30,'000001,平安银行,12.1,12.11,11.95,12.09,12.09,0.01,0.0827,0.4513,53266704,641277265.42,1.73134981282e+11,1.42829237756e+11,18064
2015-12-29,'000001,平安银行,12.09,12.1,11.97,11.99,11.98,0.11,0.9182,0.5251,61980214,744718416.25,1.72991894521e+11,1.42711197063e+11,20170
2015-12-28,'000001,平安银行,11.98,12.46,11.98,12.43,12.41,-0.43,-3.4649,0.6967,82240863,1003010207.38,1.71417940145e+11,1.41412749447e+11,33043
2015-12-25,'000001,平安银行,12.41,12.47,12.33,12.38,12.34,0.07,0.5673,0.3387,39984505,495638053.05,1.77570670885e+11,1.46488499219e+11,19587
2015-12-24,'000001,平安银行,12.34,12.56,12.24,12.46,12.48,-0.14,-1.1218,0.5424,64022964,791975824.57,1.76569063555e+11,1.45662214372e+11,23266
2015-12-23,'000001,平安银行,12.48,12.78,12.4,12.47,12.43,0.05,0.4023,0.8802,103901823,1302341538.34,1.78572278215e+11,1.47314784065e+11,38256
2015-12-22,'000001,平安银行,12.43,12.62,12.38,12.5,12.51,-0.08,-0.6395,0.5914,69809145,870121732.19,1.77856844408e+11,1.46724580603e+11,26793
2015-12-21,'000001,平安银行,12.51,12.72,12.11,12.14,12.23,0.28,2.2895,1.0853,128114213,1595741318.99,1.79001538499e+11,1.47668906142e+11,49831
2015-12-18,'000001,平安银行,12.23,12.55,12.02,12.03,12.07,0.16,1.3256,0.8666,102294474,1257360355.86,1.7499510918e+11,1.44363766756e+11,41842
2015-12-17,'000001,平安银行,12.07,12.14,11.96,11.97,11.89,0.18,1.5139,0.5492,64827475,780891801.14,1.72705720998e+11,1.42475115679e+11,23722
2015-12-16,'000001,平安银行,11.89,12.01,11.88,11.98,11.92,-0.03,-0.2517,0.3327,39276282,468510259.2,1.70130159293e+11,1.40350383216e+11,13945
2015-12-15,'000001,平安银行,11.92,12.09,11.86,12.03,12.07,-0.15,-1.2428,0.3088,36448735,436557693.69,1.70559419577e+11,1.40704505293e+11,15278
2015-12-14,'000001,平安银行,12.07,12.11,11.71,11.73,11.83,0.24,2.0287,0.4975,58723664,698791985.46,1.72705720998e+11,1.42475115679e+11,21637
2015-12-11,'000001,平安银行,11.83,11.92,11.73,11.91,11.96,-0.13,-1.087,0.3215,37950803,448800941.38,1.69271638724e+11,1.39642139062e+11,16543
2015-12-10,'000001,平安银行,11.96,12.14,11.91,11.95,11.99,-0.03,-0.2502,0.3538,41760358,502326072.56,1.71131766622e+11,1.41176668063e+11,16636
2015-12-09,'000001,平安银行,11.99,12.12,11.9,11.92,11.96,0.03,0.2508,0.3638,42938435,515596474.86,1.71561026907e+11,1.4153079014e+11,16013
2015-12-08,'000001,平安银行,11.96,12.09,11.9,12.07,12.15,-0.19,-1.5638,0.4262,50310179,602568625.88,1.71131766622e+11,1.41176668063e+11,20027
2015-12-07,'000001,平安银行,12.15,12.25,12.04,12.18,12.12,0.03,0.2475,0.3412,40279265,488370699.41,1.73850415089e+11,1.43419441217e+11,16242
2015-12-04,'000001,平安银行,12.12,12.38,12.08,12.31,12.45,-0.33,-2.6506,0.6477,76453245,934906568.6,1.73421154805e+11,1.4306531914e+11,30109
2015-12-03,'000001,平安银行,12.45,12.75,12.25,12.39,12.51,-0.06,-0.4796,1.208,142597678,1786008972.07,1.78143017931e+11,1.46960661988e+11,50065
2015-12-02,'000001,平安银行,12.51,12.64,11.66,11.7,11.75,0.76,6.4681,1.3688,161576086,1978750510.32,1.79001538499e+11,1.47668906142e+11,62841
2015-12-01,'000001,平安银行,11.75,11.86,11.51,11.7,11.74,0.01,0.0852,0.5763,68025390,793118214.08,1.68126944633e+11,1.38697813523e+11,24093
2015-11-30,'000001,平安银行,11.74,11.87,11.5,11.72,11.73,0.01,0.0853,0.5579,65849389,770221398.39,1.67983857872e+11,1.38579772831e+11,25982
2015-11-27,'000001,平安银行,11.73,12.2,11.53,12.18,12.23,-0.5,-4.0883,0.6168,72802594,867702430.62,1.6784077111e+11,1.38461732138e+11,30480
2015-11-26,'000001,平安银行,12.23,12.38,12.2,12.36,12.32,-0.09,-0.7305,0.4678,55221015,679692129.92,1.7499510918e+11,1.44363766756e+11,18484
2015-11-25,'000001,平安银行,12.32,12.37,12.17,12.21,12.28,0.04,0.3257,0.435,51346272,629507063.56,1.76282890032e+11,1.45426132988e+11,19150
